,speed,v_int,current_output,torque,current_measured,command_torque
0,-5000,-502,-31,24,-82,2
1,-5500,-546,-37,24,-63,2
2,-6000,-598,-40,26,-67,2
3,-6500,-647,-42,27,-74,2
4,-7000,-701,-57,23,-65,2
5,-7500,-748,-31,22,-74,2
6,-8000,-799,-34,24,-87,2
7,-8500,-849,-33,28,-76,2
8,-9000,-899,-40,25,-76,2
9,-9500,-950,-51,21,-79,2
10,-10000,-999,-38,22,-78,2
11,-5000,-502,-31,24,-82,2
12,-5500,-546,-37,24,-63,2
13,-6000,-598,-40,26,-67,2
14,-6500,-647,-42,27,-74,2
15,-7000,-701,-57,23,-65,2
16,-7500,-748,-31,22,-74,2
17,-8000,-799,-34,24,-87,2
18,-8500,-849,-33,28,-76,2
19,-9000,-899,-40,25,-76,2
20,-9500,-950,-51,21,-79,2
21,-10000,-999,-38,22,-78,2
22,-10500,-1050,-40,25,-80,2
23,-11000,-1101,-55,18,-89,2
24,-11500,-1149,-52,21,-83,2
25,-12000,-1200,-48,23,-92,2
26,-12500,-1250,-55,25,-94,2
27,-13000,-1299,-38,22,-83,2
28,-13500,-1348,-42,18,-84,2
29,-14000,-1399,-42,17,-98,2
30,-14500,-1449,-31,17,-87,2
31,-15000,-1498,-50,18,-92,2
32,-15500,-1549,-46,18,-86,2
33,-16000,-1600,-45,17,-90,2
34,-16500,-1649,-49,19,-89,2
35,-17000,-1699,-43,22,-94,2
36,-17500,-1750,-51,22,-91,2
37,-18000,-1798,-52,20,-92,2
38,-18500,-1850,-36,21,-104,2
39,-19000,-1898,-28,20,-73,2
40,-19500,-1950,-26,23,-98,2
41,-20000,-2001,-13,25,-121,2
42,-20500,-2049,-14,18,-98,2
43,-21000,-2102,-30,23,-131,2
44,-21500,-2151,-26,25,-94,2
45,-22000,-2203,-30,23,-133,2
46,-22500,-2247,-43,23,-61,2
47,-23000,-2297,-42,23,-69,2
48,-23500,-2346,-21,24,-56,2
49,-24000,-2400,-43,18,-115,2
50,-24500,-2453,-53,21,-135,2
51,-25000,-2501,-38,19,-118,2
52,-25500,-2548,-37,19,-80,2
53,-26000,-2599,-48,18,-101,2
54,-26500,-2647,-36,18,-67,2
55,-27000,-2702,-14,19,-135,2
56,-27500,-2754,-21,16,-162,2
57,-28000,-2802,-26,16,-122,2
58,-28500,-2847,-21,15,-91,2
59,-29000,-2901,-35,18,-123,2
60,-29500,-2951,-38,18,-117,2
61,-30000,-2998,-36,18,-99,2
62,-30500,-3048,-57,16,-102,2
63,-31000,-3097,-65,16,-94,2
64,-31500,-3152,-53,19,-152,2
65,-32000,-3196,-54,20,-82,2
66,-32500,-3246,-50,16,-77,2
67,-33000,-3300,-38,16,-92,2
68,-33500,-3343,-30,18,-46,2
69,-34000,-3395,-28,17,-82,2
70,-34500,-3447,-14,17,-100,2
71,-35000,-3496,-7,18,-69,2
72,-35500,-3545,-14,18,-78,2
73,-36000,-3598,-9,26,-109,2
74,-36500,-3655,-12,24,-149,2
75,-37000,-3702,-19,17,-131,2
76,-37500,-3754,-24,21,-154,2
77,-38000,-3801,-34,26,-104,2
78,-38500,-3850,-21,21,-107,2
79,-39000,-3907,-29,22,-215,2
80,-39500,-3946,-46,22,-120,2
81,-40000,-4006,-25,16,-201,2
82,-40500,-4037,-31,16,-13,2
83,-41000,-4108,-33,22,-213,2
84,-41500,-4152,-27,13,-179,2
85,-42000,-4201,-22,12,-109,2
86,-42500,-4242,-28,9,-114,2
87,-43000,-4294,-28,15,-71,2
88,-43500,-4350,-24,13,-102,2
89,-44000,-4389,-28,14,-4,2
90,-44500,-4442,-42,13,-29,2
91,-45000,-4495,-31,17,-165,2
92,-45500,-4563,-38,20,-257,2
93,-46000,-4596,-42,14,-183,2
94,-46500,-4640,-38,13,-21,2
95,-47000,-4697,-46,18,-62,2
96,-47500,-4741,-44,14,-42,2
97,-48000,-4806,-30,19,-253,2
98,-48500,-4869,-40,11,-294,2
99,-49000,-4901,-42,19,-203,2
100,-49500,-4942,-35,15,1,2
101,-50000,-4993,-20,24,-38,2
102,-50500,-5046,-18,16,-73,2
103,-51000,-5090,-20,18,-137,2
104,-51500,-5141,-21,20,-111,2
105,-52000,-5196,-31,19,-112,2
106,-52500,-5266,-27,23,-270,2
107,-53000,-5306,-40,19,-148,2
108,-53500,-5352,-24,17,-240,2
109,-54000,-5390,-26,18,-41,2
110,-54500,-5438,-35,18,16,2
111,-55000,-5505,-41,22,-150,2
112,-55500,-5544,-43,18,-90,2
113,-56000,-5600,-44,13,-167,2
114,-56500,-5640,-59,14,-29,2
115,-57000,-5697,-33,16,-149,2
116,-57500,-5752,-32,12,-201,2
117,-58000,-5789,-33,13,-25,2
118,-58500,-5863,-35,15,-276,2
119,-59000,-5911,-43,23,-306,2
120,-59500,-5950,-41,24,-85,2
121,-1000,-117,-30,32,125,2
122,-1500,-148,-54,27,-107,2
123,-2000,-200,-5,36,111,2
124,-2500,-251,-9,36,122,2
125,-3000,-302,-31,36,-127,2
126,-3500,-353,-41,29,-151,2
127,-4000,-397,-42,32,-104,2
