T,W
0.2, 295.752
0.199, 294.55
0.198, 296.906
0.197, 297.225
0.196, 291.972
0.195, 296.268
0.194, 294.599
0.193, 294.083
0.192, 296.292
0.191, 294.108
0.19, 297.937
0.189, 296.562
0.188, 292.684
0.187, 295.629
0.186, 295.065
0.185, 296.464
0.184, 297.814
0.183, 297.912
0.182, 298.108
0.181, 296.194
0.18, 291.506
0.179, 297.937
0.178, 294.132
0.177, 298.403
0.176, 298.403
0.175, 310.945
0.174, 307.165
0.173, 311.706
0.172, 310.994
0.171, 309.129
0.17, 306.257
0.169, 311.436
0.168, 310.454
0.167, 309.006
0.166, 310.307
0.165, 310.92
0.164, 310.773
0.163, 308.294
0.162, 305.864
0.161, 309.472
0.16, 307.018
0.159, 306.821
0.158, 306.11
0.157, 307.656
0.156, 306.92
0.155, 304.49
0.154, 307.288
0.153, 309.153
0.152, 305.103
0.151, 302.06
0.15, 306.355
0.149, 306.699
0.148, 307.312
0.147, 306.306
0.146, 307.312
0.145, 306.723
0.144, 306.699
0.143, 303.974
0.142, 302.158
0.141, 307.042
0.14, 299.434
0.139, 304.981
0.138, 300.538
0.137, 302.256
0.136, 301.864
0.135, 300.514
0.134, 297.004
0.133, 297.397
0.132, 300.44
0.131, 300.195
0.13, 298.01
0.129, 303.974
0.128, 296.66
0.127, 300.195
0.126, 302.084
0.125, 291.163
0.124, 296.857
0.123, 293.936
0.122, 292.856
0.121, 286.892
0.12, 285.076
0.119, 288.684
0.118, 287.726
0.117, 287.186
0.116, 289.076
0.115, 288.757
0.114, 290.058
0.113, 267.92
0.112, 262.888
0.111, 264.164
0.11, 264.68
0.109, 238.835
0.108, 240.48
0.107, 235.988
0.106, 236.626
0.105, 110.766
0.104, 114.202
0.103, 112.189
0.102, 113.539
0.101, 112.705
0.0999998, 111.232
0.0989998, 113.883
0.0979998, 111.748
0.0969998, 95.2052
0.0959998, 93.2663
0.0949998, 98.1014
0.0939998, 93.3399
0.0929998, 80.1844
0.0919998, 76.2329
0.0909998, 73.9258
0.0899998, 78.3191
0.0889998, 59.3222
0.0879998, 61.163
0.0869998, 62.4393
0.0859998, 62.7093
0.0849998, 60.2304
0.0839998, 57.0397
0.0829998, 57.4324
0.0819998, 47.7621
0.0809998, 40.9881
0.0799998, 41.3808
0.0789998, 47.5658
0.0779998, 30.6551
0.0769998, 29.5016
0.0759998, 31.2933
0.0749997, 27.1699
0.0739997, 10.4311
0.0729997, 0.147262
0.0719997, 0.122719
0.0709997, 0.147262
0.0699997, 0.122719
0.0689997, 0.098175
0.0679997, 0.147262
0.0669997, 0.122719
0.0659997, 0.147262
0.0649997, 0.147262
0.0639997, 0.122719
0.0629997, 0.147262
0.0619997, 0.122719
0.0609997, 0.122719
0.0599997, 0.122719
0.0589997, 0.147262
0.0579997, 0.147262
0.0569997, 0.171806
0.0559997, 0.171806
0.0549997, 0.147262
0.0539997, 0.147262
0.0529997, 0.122719
0.0519997, 0.122719
0.0509997, 0.147262
