,input_speed,input_torque,voltage,output_speed,output_torque,temp
0,12.66,0.5,"+6.19980827E-04
",-5.05601,0.496094,34.0
1,12.66,0.5,"+6.24684014E-04
",-5.30145,0.496094,34.0
2,12.66,0.5,"+6.21473902E-04
",-7.58402,0.511719,34.0
3,12.66,0.55,"+6.75896494E-04
",-3.927,0.546875,34.0
4,12.66,0.55,"+6.80450373E-04
",-6.99497,0.542969,34.0
5,12.66,0.55,"+6.75112629E-04
",-5.54689,0.546875,35.0
6,12.66,0.6000000000000001,"+7.51931349E-04
",-5.69415,0.582031,35.0
7,12.66,0.6000000000000001,"+7.30505719E-04
",-5.05601,0.59375,35.0
8,12.66,0.6000000000000001,"+7.36366040E-04
",-7.26495,0.59375,35.0
9,12.66,0.6500000000000001,"+7.96798259E-04
",-5.17873,0.648438,35.0
10,12.66,0.6500000000000001,"+7.93550820E-04
",-5.52234,0.632812,35.0
11,12.66,0.6500000000000001,"+7.97246181E-04
",-5.86596,0.644531,35.0
12,12.66,0.7000000000000002,"+8.54132347E-04
",-4.00063,0.699219,35.0
13,12.66,0.7000000000000002,"+8.56819882E-04
",-3.41158,0.699219,35.0
14,12.66,0.7000000000000002,"+8.49541141E-04
",-2.92071,0.679688,35.0
15,12.66,0.7500000000000002,"+9.18595869E-04
",-3.41158,0.746094,35.0
16,12.66,0.7500000000000002,"+9.24045593E-04
",-3.95154,0.738281,35.0
17,12.66,0.7500000000000002,"+9.09488110E-04
",-5.4978,0.746094,35.0
18,12.66,0.8000000000000003,"+9.68128639E-04
",-5.57143,0.792969,35.0
19,12.66,0.8000000000000003,"+9.65926353E-04
",-1.52171,0.796875,35.0
20,12.66,0.8000000000000003,"+9.67232794E-04
",-4.66331,0.796875,35.0
21,12.66,0.8500000000000003,"+1.04326765E-03
",-2.79799,0.84375,35.0
22,12.66,0.8500000000000003,"+1.01732547E-03
",-1.25173,0.839844,35.0
23,12.66,0.8500000000000003,"+1.02128212E-03
",-3.41158,0.839844,35.0
24,12.66,0.9000000000000004,"+1.10108699E-03
",-2.01259,0.886719,36.0
25,12.66,0.9000000000000004,"+1.08051988E-03
",-2.87162,0.90625,36.0
26,12.66,0.9000000000000004,"+1.08738802E-03
",-1.69352,0.914062,36.0
27,12.66,0.9500000000000004,"+1.14774559E-03
",-1.5708,0.945312,36.0
28,12.66,0.9500000000000004,"+1.15427779E-03
",-0.809944,0.957031,36.0
29,12.66,0.9500000000000004,"+1.13654752E-03
",-2.40529,0.945312,36.0
30,12.66,1.0000000000000004,"+1.19765163E-03
",-0.98175,0.992188,36.0
31,12.66,1.0000000000000004,"+1.20033916E-03
",-0.515419,1.00391,36.0
32,12.66,1.0000000000000004,"+1.19638251E-03
",-0.98175,0.992188,36.0
33,12.66,1.0500000000000005,"+1.25132768E-03
",-0.834487,1.03516,37.0
34,12.66,1.0500000000000005,"+1.25953959E-03
",-0.3927,1.04297,37.0
35,12.66,1.0500000000000005,"+1.25405254E-03
",-1.15356,1.03906,37.0
36,12.66,1.1000000000000005,"+1.32064370E-03
",-0.245438,1.09375,37.0
37,12.66,1.1000000000000005,"+1.43994041E-03
",-0.269981,1.10156,37.0
38,12.66,1.1000000000000005,"+1.31463407E-03
",-1.37445,1.09375,37.0
39,12.66,1.1500000000000006,"+1.44240398E-03
",0.245438,1.13281,37.0
40,12.66,1.1500000000000006,"+1.44229200E-03
",-0.171806,1.17188,37.0
41,12.66,1.1500000000000006,"+1.44225467E-03
",0.834487,1.14062,37.0
42,12.66,1.2000000000000006,"+1.44307586E-03
",0.0736312,1.1875,37.0
43,12.66,1.2000000000000006,"+1.44206804E-03
",0.147262,1.19141,37.0
44,12.66,1.2000000000000006,"+1.44117219E-03
",-0.294525,1.19922,37.0
45,12.66,1.2500000000000007,"+1.44460627E-03
",-0.343612,1.25,37.0
46,12.66,1.2500000000000007,"+1.44356111E-03
",-0.098175,1.25781,37.0
47,12.66,1.2500000000000007,"+1.44281458E-03
",0.466331,1.23047,37.0
48,12.66,1.3000000000000007,"+1.45319145E-03
",0.269981,1.29688,37.0
49,12.66,1.3000000000000007,"+1.45322877E-03
",-0.171806,1.28906,37.0
50,12.66,1.3000000000000007,"+1.45490848E-03
",-0.343612,1.28516,38.0
51,12.66,1.3500000000000008,"+1.49115289E-03
",0.294525,1.34766,38.0
52,12.66,1.3500000000000008,"+1.48809208E-03
",0.490875,1.35547,38.0
53,12.66,1.3500000000000008,"+1.48738287E-03
",0.343612,1.34766,38.0
54,12.66,1.4000000000000008,"+1.49626667E-03
",0.171806,1.37891,38.0
55,12.66,1.4000000000000008,"+1.49245933E-03
",-0.098175,1.38672,38.0
56,12.66,1.4000000000000008,"+1.49048100E-03
",0.441788,1.40234,38.0
57,12.66,1.4500000000000008,"+1.54874826E-03
",-0.736313,1.42188,38.0
58,12.66,1.4500000000000008,"+1.58114799E-03
",0.294525,1.42188,38.0
59,12.66,1.4500000000000008,"+1.58092403E-03
",-0.0490875,1.44531,38.0
60,15.825,0.5,"+6.18487752E-04
",-17.8678,0.53125,38.0
61,15.825,0.5,"+6.17591907E-04
",-8.68849,0.480469,38.0
62,15.825,0.5,"+6.20279442E-04
",-7.80491,0.5,38.0
63,15.825,0.55,"+6.75784513E-04
",-9.47389,0.53125,39.0
64,15.825,0.55,"+6.72574401E-04
",-6.62681,0.546875,39.0
65,15.825,0.55,"+6.71379941E-04
",-9.4248,0.550781,39.0
66,15.825,0.6000000000000001,"+7.38157730E-04
",-8.71303,0.585938,39.0
67,15.825,0.6000000000000001,"+7.30617700E-04
",-9.59661,0.59375,39.0
68,15.825,0.6000000000000001,"+7.27519569E-04
",-9.40026,0.59375,39.0
69,15.825,0.6500000000000001,"+7.94260031E-04
",-7.33858,0.640625,39.0
70,15.825,0.6500000000000001,"+8.01165504E-04
",-9.37571,0.625,40.0
71,15.825,0.6500000000000001,"+7.91012592E-04
",-8.39396,0.640625,40.0
72,15.825,0.7000000000000002,"+8.52639272E-04
",-4.41787,0.699219,40.0
73,15.825,0.7000000000000002,"+8.44912607E-04
",-7.87854,0.695312,40.0
74,15.825,0.7000000000000002,"+8.55513441E-04
",-6.06231,0.699219,40.0
75,15.825,0.7500000000000002,"+9.16729525E-04
",-7.04406,0.738281,40.0
76,15.825,0.7500000000000002,"+9.09413456E-04
",-5.03147,0.742188,40.0
77,15.825,0.7500000000000002,"+9.06613940E-04
",-6.08685,0.742188,40.0
78,15.825,0.8000000000000003,"+9.73690344E-04
",-4.51605,0.789062,40.0
