,input_speed,input_torque,voltage,output_speed,output_torque,temp
0,12.66,0.1,"+1.93166700E-05
",-11.5847,0.0898438,31.0
1,12.66,0.1,"+1.92420162E-05
",-9.69478,0.09375,31.0
2,12.66,0.1,"+2.08843989E-05
",-10.9465,0.0898438,31.0
3,12.66,0.15000000000000002,"+2.45424332E-05
",-10.7747,0.148438,31.0
4,12.66,0.15000000000000002,"+2.56995665E-05
",-9.74387,0.148438,31.0
5,12.66,0.15000000000000002,"+2.42811450E-05
",-10.0139,0.140625,31.0
6,12.66,0.20000000000000004,"+3.20451361E-05
",-9.89113,0.207031,31.0
7,12.66,0.20000000000000004,"+3.15225598E-05
",-10.1857,0.1875,31.0
8,12.66,0.20000000000000004,"+3.21571168E-05
",-10.1366,0.203125,31.0
9,12.66,0.25000000000000006,"+3.81294176E-05
",-7.73128,0.253906,31.0
10,12.66,0.25000000000000006,"+3.87639746E-05
",-9.62115,0.253906,31.0
11,12.66,0.25000000000000006,"+3.84280327E-05
",-8.98301,0.25,31.0
12,12.66,0.30000000000000004,"+4.50722173E-05
",-8.36942,0.289062,31.0
13,12.66,0.30000000000000004,"+4.62293506E-05
",-8.46759,0.289062,31.0
14,12.66,0.30000000000000004,"+4.57814281E-05
",-8.54123,0.296875,31.0
15,12.66,0.3500000000000001,"+5.25375934E-05
",-9.15482,0.347656,31.0
16,12.66,0.3500000000000001,"+5.22016515E-05
",-8.27124,0.335938,31.0
17,12.66,0.3500000000000001,"+5.24629396E-05
",-7.33858,0.347656,31.0
18,12.66,0.40000000000000013,"+6.03762382E-05
",-7.31404,0.402344,31.0
19,12.66,0.40000000000000013,"+5.97416813E-05
",-9.17936,0.386719,31.0
20,12.66,0.40000000000000013,"+5.92937587E-05
",-8.07489,0.398438,31.0
21,12.66,0.45000000000000007,"+6.57886359E-05
",-8.36942,0.453125,31.0
22,12.66,0.45000000000000007,"+6.44448682E-05
",-6.38137,0.449219,31.0
23,12.66,0.45000000000000007,"+6.57513090E-05
",-6.60227,0.4375,31.0
24,18.990000000000002,0.1,"+1.78982485E-05
",-14.4317,0.09375,31.0
25,18.990000000000002,0.1,"+1.80848829E-05
",-19.5859,0.09375,31.0
26,18.990000000000002,0.1,"+1.90180549E-05
",-16.9352,0.09375,31.0
27,18.990000000000002,0.15000000000000002,"+2.59235278E-05
",-16.1498,0.136719,31.0
28,18.990000000000002,0.15000000000000002,"+2.55502590E-05
",-15.6835,0.140625,31.0
29,18.990000000000002,0.15000000000000002,"+2.52143170E-05
",-14.8244,0.140625,31.0
30,18.990000000000002,0.20000000000000004,"+3.16345404E-05
",-16.0025,0.191406,31.0
31,18.990000000000002,0.20000000000000004,"+3.18585017E-05
",-14.7753,0.191406,31.0
32,18.990000000000002,0.20000000000000004,"+3.20078092E-05
",-14.5544,0.207031,31.0
33,18.990000000000002,0.25000000000000006,"+3.88013015E-05
",-15.3644,0.246094,31.0
34,18.990000000000002,0.25000000000000006,"+3.88386283E-05
",-14.7262,0.246094,31.0
35,18.990000000000002,0.25000000000000006,"+3.89132821E-05
",-15.3153,0.25,31.0
36,18.990000000000002,0.30000000000000004,"+4.62666775E-05
",-14.3336,0.289062,31.0
37,18.990000000000002,0.30000000000000004,"+4.59307356E-05
",-14.2108,0.289062,31.0
