,input_speed,input_torque,voltage,output_speed,output_torque,temp
0,-12.66,0.5,"-4.86537211E-04
",-16.9352,0.5,40.0
1,-12.66,0.5,"-4.85342751E-04
",-16.0762,0.492188,40.0
2,-12.66,0.5,"-4.90083265E-04
",-16.7634,0.484375,40.0
3,-12.66,1.0,"-1.01822129E-03
",-20.4695,1.02344,41.0
4,-12.66,1.0,"-1.02053556E-03
",-21.0095,0.984375,41.0
5,-12.66,1.0,"-1.01187572E-03
",-20.6413,1.00781,41.0
6,-12.66,1.5,"-1.51369830E-03
",-24.0038,1.50391,41.0
7,-12.66,1.5,"-1.51709505E-03
",-26.8263,1.49609,41.0
8,-12.66,1.5,"-1.51787891E-03
",-25.0837,1.54297,41.0
9,-12.66,2.0,"-1.98379303E-03
",-27.759,2.01953,42.0
10,-12.66,2.0,"-1.99618556E-03
",-28.9371,1.95703,42.0
11,-12.66,2.0,"-1.98819760E-03
",-28.0781,1.98828,42.0
12,-12.66,2.5,"-2.41126046E-03
",-33.944,2.46484,42.0
13,-12.66,2.5,"-2.41894980E-03
",-32.3978,2.54297,42.0
14,-12.66,2.5,"-2.41245492E-03
",-36.1284,2.44922,42.0
