,input_speed,input_torque,voltage,output_speed,output_torque,temp
0,-6.33,1.0,"-1.05054637E-03
",7.28949,1.01953,40.0
1,-6.33,1.0,"-1.05468966E-03
",7.04406,1.00391,40.0
2,-6.33,1.0,"-1.05588412E-03
",6.94588,0.996094,40.0
3,-6.33,1.05,"-1.10493164E-03
",7.31404,1.03516,40.0
4,-6.33,1.05,"-1.09421882E-03
",6.79862,1.05469,40.0
5,-6.33,1.05,"-1.10313995E-03
",6.94588,1.03906,40.0
6,-6.33,1.1,"-1.15879432E-03
",6.08685,1.08984,40.0
7,-6.33,1.1,"-1.15834640E-03
",7.33858,1.10938,40.0
8,-6.33,1.1,"-1.14815616E-03
",6.92134,1.08984,40.0
9,-6.33,1.1500000000000001,"-1.20996948E-03
",6.77408,1.13281,41.0
10,-6.33,1.1500000000000001,"-1.21411276E-03
",6.40592,1.15234,41.0
11,-6.33,1.1500000000000001,"-1.21377682E-03
",5.86596,1.15625,41.0
12,-6.33,1.2000000000000002,"-1.25099172E-03
",5.98868,1.19141,41.0
13,-6.33,1.2000000000000002,"-1.25741194E-03
",7.53493,1.20312,41.0
14,-6.33,1.2000000000000002,"-1.25815848E-03
",5.69415,1.17188,41.0
15,-6.33,1.2500000000000002,"-1.30847511E-03
",6.87225,1.24219,41.0
16,-6.33,1.2500000000000002,"-1.30392123E-03
",6.13594,1.25,42.0
17,-6.33,1.2500000000000002,"-1.30451847E-03
",6.45501,1.25391,42.0
18,-6.33,1.3000000000000003,"-1.36222582E-03
",5.93959,1.25781,42.0
19,-6.33,1.3000000000000003,"-1.36513732E-03
",7.16678,1.25,42.0
20,-6.33,1.3500000000000003,"-1.40190430E-03
",7.0686,1.35547,42.0
21,-6.33,1.3500000000000003,"-1.41519266E-03
",6.35683,1.33984,42.0
22,-6.33,1.4000000000000004,"-1.46173928E-03
",6.23411,1.39453,42.0
23,-6.33,1.4000000000000004,"-1.45606560E-03
",6.03776,1.39844,43.0
24,-6.33,1.4000000000000004,"-1.46468811E-03
",7.36312,1.38672,43.0
25,-6.33,1.4500000000000004,"-1.51739366E-03
",6.52864,1.41797,43.0
26,-6.33,1.4500000000000004,"-1.52056645E-03
",7.75583,1.42188,43.0
27,-6.33,1.4500000000000004,"-1.50906977E-03
",6.01322,1.40625,43.0
28,-6.33,1.5000000000000004,"-1.56296978E-03
",8.54123,1.51953,43.0
29,-6.33,1.5000000000000004,"-1.57409319E-03
",5.74324,1.48438,44.0
30,-6.33,1.5000000000000004,"-1.56352969E-03
",6.38137,1.49609,44.0
31,-6.33,1.5500000000000005,"-1.60880719E-03
",7.09314,1.51562,44.0
32,-6.33,1.5500000000000005,"-1.61548870E-03
",5.98868,1.57812,44.0
33,-6.33,1.5500000000000005,"-1.60974036E-03
",6.33229,1.5625,44.0
34,-6.33,1.6000000000000005,"-1.66991130E-03
",7.26495,1.59375,44.0
35,-6.33,1.6000000000000005,"-1.66039294E-03
",6.23411,1.55078,44.0
36,-6.33,1.6500000000000006,"-1.70917917E-03
",7.97672,1.66797,45.0
37,-6.33,1.6500000000000006,"-1.71126948E-03
",6.70044,1.66797,45.0
38,-6.33,1.6500000000000006,"-1.72201962E-03
",6.82316,1.67578,45.0
39,-6.33,1.7000000000000006,"-1.75949581E-03
",4.41787,1.67969,45.0
40,-6.33,1.7000000000000006,"-1.76143681E-03
",7.53493,1.73438,45.0
41,-6.33,1.7000000000000006,"-1.76655059E-03
",6.6759,1.66406,46.0
42,-6.33,1.7500000000000007,"-1.81578474E-03
",8.83575,1.76562,46.0
43,-6.33,1.7500000000000007,"-1.81380642E-03
",6.65136,1.78125,46.0
44,-6.33,1.7500000000000007,"-1.81130552E-03
",6.38137,1.78125,46.0
45,-6.33,1.8000000000000007,"-1.85755352E-03
",6.6759,1.82422,46.0
46,-6.33,1.8000000000000007,"-1.85691897E-03
",7.48584,1.85938,46.0
47,-6.33,1.8500000000000008,"-1.90693699E-03
",4.88421,1.8125,47.0
48,-6.33,1.8500000000000008,"-1.90869135E-03
",6.60227,1.83984,47.0
49,-6.33,1.8500000000000008,"-1.90495866E-03
",8.07489,1.76172,47.0
50,-6.33,1.9000000000000008,"-1.95546193E-03
",7.04406,1.83984,48.0
51,-6.33,1.9000000000000008,"-1.96020244E-03
",6.38137,1.86328,48.0
52,-6.33,1.9000000000000008,"-1.95852273E-03
",7.60856,1.88672,48.0
53,-6.33,1.9500000000000008,"-1.99652150E-03
",8.51668,1.87891,49.0
54,-6.33,1.9500000000000008,"-2.00402420E-03
",5.96413,1.99609,49.0
55,-6.33,1.9500000000000008,"-2.00995917E-03
",7.90309,1.9375,49.0
56,-9.495000000000001,1.0,"-1.05129291E-03
",10.5538,0.992188,49.0
57,-9.495000000000001,1.0,"-1.05644402E-03
",10.382,1.00391,49.0
58,-9.495000000000001,1.0,"-1.05431639E-03
",8.71303,0.996094,49.0
59,-9.495000000000001,1.05,"-1.09895934E-03
",10.4066,1.04297,49.0
60,-9.495000000000001,1.05,"-1.10299064E-03
",11.781,1.04297,50.0
61,-9.495000000000001,1.05,"-1.10306529E-03
",10.2347,1.05469,50.0
62,-9.495000000000001,1.1,"-1.15898096E-03
",9.91568,1.09375,50.0
63,-9.495000000000001,1.1,"-1.15711461E-03
",9.76841,1.07422,50.0
64,-9.495000000000001,1.1,"-1.15554689E-03
",10.8729,1.09375,51.0
65,-9.495000000000001,1.1500000000000001,"-1.21131325E-03
",10.0875,1.13672,51.0
66,-9.495000000000001,1.1500000000000001,"-1.21400078E-03
",9.54752,1.14062,51.0
67,-9.495000000000001,1.2000000000000002,"-1.25453777E-03
",8.93392,1.1875,51.0
68,-9.495000000000001,1.2000000000000002,"-1.26103265E-03
",10.0139,1.20703,51.0
69,-9.495000000000001,1.2000000000000002,"-1.25621748E-03
",8.07489,1.23438,51.0
70,-9.495000000000001,1.2500000000000002,"-1.30567560E-03
",11.0447,1.27344,51.0
71,-9.495000000000001,1.2500000000000002,"-1.30899769E-03
",11.0201,1.21484,53.0
72,-9.495000000000001,1.3000000000000003,"-1.35856779E-03
",11.0938,1.28906,53.0
73,-9.495000000000001,1.3000000000000003,"-1.35741065E-03
",11.8792,1.29688,53.0
74,-9.495000000000001,1.3000000000000003,"-1.35819452E-03
",10.0139,1.30078,53.0
75,-9.495000000000001,1.3500000000000003,"-1.40332272E-03
",8.54123,1.33203,53.0
76,-9.495000000000001,1.3500000000000003,"-1.40776462E-03
",9.64569,1.32422,53.0
77,-9.495000000000001,1.3500000000000003,"-1.40615956E-03
",9.52297,1.35156,53.0
78,-9.495000000000001,1.4000000000000004,"-1.45419925E-03
",11.4128,1.35547,53.0
79,-9.495000000000001,1.4000000000000004,"-1.46192592E-03
",10.0384,1.36719,53.0
80,-9.495000000000001,1.4000000000000004,"-1.46140334E-03
",9.44934,1.42188,53.0
81,-9.495000000000001,1.4500000000000004,"-1.50686748E-03
",11.0938,1.46875,53.0
82,-9.495000000000001,1.4500000000000004,"-1.51444484E-03
",10.9956,1.44531,54.0
