,input_speed,input_torque,voltage,output_speed,output_torque,temp
0,-6.33,0.5,"-5.20392692E-04
",7.19132,0.492188,35.0
1,-6.33,0.5,"-5.26327666E-04
",7.14223,0.503906,35.0
2,-12.66,0.5,"-5.22259036E-04
",12.7627,0.503906,36.0
3,-18.990000000000002,0.5,"-5.15876139E-04
",18.9232,0.5,36.0
4,-25.32,0.5,"-5.17779810E-04
",25.8446,0.511719,36.0
5,-25.32,0.5,"-5.18601001E-04
",25.8446,0.496094,36.0
6,-31.65,0.5,"-5.17182580E-04
",32.5696,0.503906,37.0
7,-31.65,0.5,"-5.12068797E-04
",32.6923,0.519531,37.0
8,-37.98,0.5,"-5.11098298E-04
",40.7426,0.5,37.0
9,-37.98,0.5,"-5.12591374E-04
",37.9201,0.515625,37.0
10,-44.31,0.5,"-5.11471567E-04
",45.0869,0.492188,37.0
11,-44.31,0.5,"-5.07216303E-04
",45.8232,0.496094,37.0
12,-50.64,0.5,"-5.07440264E-04
",52.4991,0.5,37.0
13,-50.64,0.5,"-5.08336109E-04
",49.8484,0.511719,37.0
14,-56.97,0.5,"-5.06245804E-04
",60.9176,0.496094,37.0
15,-56.97,0.5,"-5.06021843E-04
",58.7577,0.535156,37.0
16,-63.3,0.5,"-5.10202453E-04
",67.0535,0.519531,37.0
17,-63.3,0.5,"-5.05760555E-04
",65.2864,0.511719,37.0
18,-69.63,0.5,"-5.07925514E-04
",74.9321,0.492188,37.0
19,-69.63,0.5,"-5.03744903E-04
",76.9692,0.519531,37.0
20,-75.96,0.5,"-5.02699750E-04
",80.2581,0.480469,37.0
21,-75.96,0.5,"-5.05088671E-04
",78.9572,0.453125,37.0
22,-82.29,0.5,"-5.01355983E-04
",87.3512,0.449219,37.0
23,-82.29,0.5,"-5.01766578E-04
",84.1851,0.445312,37.0
24,-88.62,0.5,"-5.01505290E-04
",91.4746,0.484375,37.0
25,-88.62,0.5,"-5.03073019E-04
",94.5425,0.515625,37.0
26,-94.95,0.5,"-5.00908060E-04
",100.188,0.433594,37.0
27,-94.95,0.5,"-4.99228350E-04
",103.673,0.433594,37.0
28,-101.28,0.5,"-4.98705774E-04
",108.508,0.476562,37.0
29,-101.28,0.5,"-5.00758753E-04
",102.936,0.429688,38.0
30,-107.61,0.5,"-4.98444486E-04
",114.914,0.386719,38.0
31,-107.61,0.5,"-4.98556467E-04
",113.294,0.398438,38.0
32,-113.94,0.5,"-4.95794278E-04
",117.785,0.453125,38.0
33,-113.94,0.5,"-4.97548641E-04
",116.926,0.351562,38.0
34,-120.27,0.5,"-4.94898432E-04
",120.657,0.433594,38.0
35,-120.27,0.5,"-4.95122394E-04
",130.892,0.496094,38.0
36,-126.6,0.5,"-4.93181396E-04
",136.144,0.476562,38.0
37,-126.6,0.5,"-4.94263875E-04
",124.142,0.484375,38.0
38,-132.93,0.5,"-4.92994761E-04
",141.028,0.464844,38.0
39,-132.93,0.5,"-4.90531187E-04
",138.893,0.613281,38.0
40,-139.26000000000002,0.5,"-4.91725648E-04
",139.139,0.355469,38.0
41,-139.26000000000002,0.5,"-4.91986936E-04
",140.096,0.386719,38.0
42,-145.59,0.5,"-4.90531187E-04
",147.802,0.597656,38.0
43,-145.59,0.5,"-4.90568514E-04
",143.139,0.53125,38.0
44,-151.92000000000002,0.5,"-4.90867129E-04
",154.773,0.402344,38.0
45,-151.92000000000002,0.5,"-4.88552863E-04
",148.072,0.476562,38.0
