,input_speed,input_torque,voltage,output_speed,output_torque,temp
0,-6.33,1.5,"+2.72364914E-03
",7.09314,1.51562,25.0
1,-6.33,1.5,"+2.80311807E-03
",7.97672,1.51172,25.0
2,-12.66,1.5,"+3.18706236E-03
",10.3329,1.47656,25.0
3,-18.990000000000002,1.5,"+3.68713058E-03
",19.8804,1.53125,25.0
4,-18.990000000000002,1.5,"+3.72076210E-03
",19.7332,1.52734,25.0
5,-25.32,1.5,"+4.17193210E-03
",25.0346,1.48438,25.0
6,-31.65,1.5,"+4.69805448E-03
",31.7105,1.48828,25.0
7,-31.65,1.5,"+4.77823261E-03
",32.7905,1.5,26.0
8,-37.98,1.5,"+5.22212387E-03
",41.9453,1.52734,26.0
9,-37.98,1.5,"+5.15124013E-03
",38.2146,1.50391,26.0
10,-44.31,1.5,"+5.53746136E-03
",45.2832,1.50391,26.0
11,-44.31,1.5,"+5.52839093E-03
",44.9396,1.49609,26.0
12,-50.64,1.5,"+6.18478412E-03
",52.6954,1.50391,26.0
13,-50.64,1.5,"+6.03461808E-03
",50.7074,1.48828,26.0
14,-56.97,1.5,"+6.68041043E-03
",60.0586,1.49609,26.0
15,-56.97,1.5,"+6.36514760E-03
",56.647,1.47656,27.0
16,-63.3,1.5,"+6.89503999E-03
",65.2373,1.46484,27.0
17,-63.3,1.5,"+7.05894232E-03
",66.2681,1.53125,27.0
18,-69.63,1.5,"+7.17107227E-03
",70.4896,1.54688,27.0
19,-69.63,1.5,"+7.14751901E-03
",67.8635,1.51562,27.0
20,-75.96,1.5,"+7.83254192E-03
",74.9321,1.55078,27.0
21,-75.96,1.5,"+7.85859608E-03
",74.343,1.56641,27.0
22,-82.29,1.5,"+8.13149290E-03
",85.9768,1.54297,27.0
23,-82.29,1.5,"+8.56399946E-03
",93.0454,1.45312,27.0
24,-88.62,1.5,"+8.39035482E-03
",90.2719,1.49609,28.0
25,-88.62,1.5,"+8.35493161E-03
",90.9346,1.51953,28.0
26,-94.95,1.5,"+8.96212797E-03
",100.482,1.43359,28.0
27,-94.95,1.5,"+8.82062176E-03
",96.4079,1.47656,28.0
28,-101.28,1.5,"+9.12349207E-03
",97.586,1.45312,28.0
29,-101.28,1.5,"+9.38145814E-03
",113.073,1.41406,28.0
30,-107.61,1.5,"+9.77577930E-03
",111.92,1.47656,29.0
31,-107.61,1.5,"+9.62845011E-03
",105.415,1.51953,29.0
